"hydroYear","Date","MRD","MRS"
"1969",1969-10-01,1063.54838709677,2.34119945087097
"1969",1969-11-01,1322.4,11.891930274272
"1969",1969-12-01,1448.70967741935,7.74564286706093
"1969",1970-01-01,1880.32258064516,16.609254627128
"1969",1970-02-01,5869.64285714286,66.3897067486969
"1969",1970-03-01,4057.09677419355,34.0672675776888
"1969",1970-04-01,4071.33333333333,11.1333175352314
"1969",1970-05-01,4722.90322580645,5.94649749870968
"1969",1970-06-01,3101,1.9528142611
"1969",1970-07-01,2903.87096774194,16.0954680308065
"1969",1970-08-01,2470.96774193548,9.08686045058064
"1969",1970-09-01,1948.66666666667,6.3884048779
"1970",1970-10-01,1853.54838709677,14.6485107361613
"1970",1970-11-01,1853,13.5974255034
"1970",1970-12-01,1961.61290322581,6.76310672077419
"1970",1971-01-01,1505.8064516129,26.7651041001454
"1970",1971-02-01,1703.21428571429,9.3458146864981
"1970",1971-03-01,1376.77419354839,15.2835525854157
"1970",1971-04-01,1411.66666666667,4.43763494333333
"1970",1971-05-01,1413.54838709677,14.4137159226129
"1970",1971-06-01,2155.66666666667,18.5459124551
"1970",1971-07-01,1651.61290322581,4.77229801270968
"1970",1971-08-01,1266.77419354839,3.25025702125806
"1970",1971-09-01,1118,3.94213816786667
"1971",1971-10-01,856.774193548387,4.2930182363871
"1971",1971-11-01,915.333333333333,18.1116313579227
"1971",1971-12-01,1135.16129032258,5.73225396848387
"1971",1972-01-01,887.741935483871,6.75411507541499
"1971",1972-02-01,1069.31034482759,5.43014455151856
"1971",1972-03-01,849.032258064516,6.85893406767742
"1971",1972-04-01,1673,6.243574918
"1971",1972-05-01,1497.09677419355,14.8745236281935
"1971",1972-06-01,1773.33333333333,8.0038329005
"1971",1972-07-01,1702.58064516129,12.4767650635806
"1971",1972-08-01,1607.09677419355,10.3228003916452
"1971",1972-09-01,1109.33333333333,14.2808667922667
"1972",1972-10-01,790.967741935484,2.37658644129032
"1972",1972-11-01,2413.66666666667,11.3850135784
"1972",1972-12-01,1873.54838709677,6.02615585003226
"1972",1973-01-01,966.451612903226,3.42352226306452
"1972",1973-02-01,1564.28571428571,10.2133570260855
"1972",1973-03-01,1493.22580645161,2.06566263563047
"1972",1973-04-01,1870.33333333333,10.8813783319
"1972",1973-05-01,2214.83870967742,6.99730592216129
"1972",1973-06-01,1801,4.00093981603333
"1972",1973-07-01,1836.12903225806,5.50438597445161
"1972",1973-08-01,1567.09677419355,4.98560593835484
"1972",1973-09-01,1079,3.469773755
"1973",1973-10-01,1307.74193548387,12.2500892630968
"1973",1973-11-01,1568,11.673467915695
"1973",1973-12-01,2435.48387096774,31.4795098852385
"1973",1974-01-01,2009.03225806452,13.820909905
"1973",1974-02-01,2343.21428571429,11.7019849420357
"1973",1974-03-01,1959.35483870968,10.1007525897097
"1973",1974-04-01,1401.33333333333,0.4741667795
"1973",1974-05-01,1258.70967741935,4.00010589841935
"1973",1974-06-01,1566.66666666667,6.17945938263333
"1973",1974-07-01,1949.35483870968,17.7768570483871
"1973",1974-08-01,1548.70967741935,5.71704493493548
"1973",1974-09-01,1260,15.8552877912333
"1974",1974-10-01,2279.03225806452,20.9458902845484
"1974",1974-11-01,2682.66666666667,20.1783051746667
"1974",1974-12-01,4476.12903225806,28.8593673502258
"1974",1975-01-01,3194.1935483871,13.2972189733226
"1974",1975-02-01,2556.07142857143,8.36336845225
"1974",1975-03-01,1791.29032258065,10.5263357550968
"1974",1975-04-01,2570.66666666667,8.08986910060963
"1974",1975-05-01,1944.51612903226,2.35907093629032
"1974",1975-06-01,2150.33333333333,7.56440399493333
"1974",1975-07-01,2590,4.20318731180645
"1974",1975-08-01,1982.58064516129,2.42549122358065
"1974",1975-09-01,2001.33333333333,9.07708299956667
"1975",1975-10-01,1390,4.03553245990323
"1975",1975-11-01,1404.46666666667,15.5651067903667
"1975",1975-12-01,1540.32258064516,8.02409050879978
"1975",1976-01-01,2047.74193548387,22.2875772987496
"1975",1976-02-01,1706.89655172414,17.5025337359154
"1975",1976-03-01,1269.67741935484,2.78869926164516
"1975",1976-04-01,1116.63333333333,1.28871431433333
"1975",1976-05-01,1167.74193548387,4.15093397683871
"1975",1976-06-01,1276.16666666667,4.30993987883333
"1975",1976-07-01,1007.96774193548,10.0883743041613
"1975",1976-08-01,1135.22580645161,1.46492486306452
"1975",1976-09-01,1060.26666666667,2.46095532566667
"1976",1976-10-01,1085.06451612903,6.25781258867742
"1976",1976-11-01,1015.66666666667,8.02628329586667
"1976",1976-12-01,1806.77419354839,13.0410420022218
"1976",1977-01-01,1719.03225806452,16.7811314890698
"1976",1977-02-01,4370.71428571429,15.0215863045
"1976",1977-03-01,2376.12903225806,2.74245686141935
"1976",1977-04-01,2252.33333333333,11.9721840246667
"1976",1977-05-01,2544.51612903226,4.033287993
"1976",1977-06-01,1963,17.2001602381
"1976",1977-07-01,1824.51612903226,3.02585833293548
"1976",1977-08-01,2041.61290322581,13.6320841703226
"1976",1977-09-01,1577,1.8559916575
"1977",1977-10-01,1104.51612903226,4.16652886606452
"1977",1977-11-01,2357,19.9162983524333
"1977",1977-12-01,2136.45161290323,8.63907936491799
"1977",1978-01-01,2202.25806451613,9.35900225551613
"1977",1978-02-01,2420.35714285714,25.4835270699679
"1977",1978-03-01,3842.58064516129,15.5037574958172
"1977",1978-04-01,2606.66666666667,1.89300059373333
"1977",1978-05-01,3205.48387096774,4.502082911
"1977",1978-06-01,2706.33333333333,11.5777157988
"1977",1978-07-01,2613.87096774194,15.8552503638387
